"[run number],""%a"",""rep"",""time-c"",""time-d"",""dif"",""accor"",""time-sf"",""IPa"",""Impact"",""impact-s"",""impact-d"",""iIPa"",""IPb"",""number-a"",""iIPb"",""TSL"",""number-b"",""number"",""time-r"",""MT"",""time-s"",""mean."",""recovery"",""impact-r"",""TPB"",""per"",""SD"",""discount"",""inn-culture"",""[step]"",""[report-who-x] of turtles"",""[avg-ladvantage] of turtles"",""[report-who-y] of turtles"",""[avg-w] of turtles"",""[report-who-z] of turtles"",""[avg-pw] of turtles"",""[report-who-a] of turtles"",""[avg-awa] of turtles"",""[report-who-b] of turtles"",""[avg-aladvantage] of turtles"""
"4,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""1.3"",""0"",""[[3 99.57537286066635] [1 103.87171389837552] [2 101.44990765131863] [0 97.28925588505331]]"",""[100.54656257385344 100.54656257385344 100.54656257385345 100.54656257385345]"",""[[3 129.44855825359178] [1 135.03283762618247] [2 131.88407530529807] [0 126.47639220259163]]"",""[130.710465846916 130.71046584691598 130.71046584691598 130.71046584691598]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"""
"1,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""0"",""[[2 105.01347259515363] [1 102.02455611156347] [3 100.6902940547604] [0 104.22182097278652]]"",""[102.98753593356601 102.98753593356601 102.98753593356601 102.98753593356601]"",""[[2 84.01021061600765] [1 81.61838048808993] [3 80.55224067822967] [0 83.37666501949445]]"",""[82.38937420045544 82.38937420045542 82.38937420045542 82.38937420045544]"",""[[2 0] [1 0] [3 0] [0 0]]"",""[0 0 0 0]"",""[[2 0] [1 0] [3 0] [0 0]]"",""[0 0 0 0]"",""[[2 0] [1 0] [3 0] [0 0]]"",""[0 0 0 0]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""0"",""[[3 99.91014309714828] [1 100.24337261035005] [2 103.65445110501298] [0 100.34039441351396]]"",""[101.03709030650631 101.03709030650631 101.03709030650631 101.03709030650631]"",""[[3 79.92781289393055] [1 80.19367031856706] [2 82.92240159437235] [0 80.27194648575995]]"",""[80.82895782315748 80.82895782315748 80.82895782315748 80.82895782315748]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"",""[[3 0] [1 0] [2 0] [0 0]]"",""[0 0 0 0]"""
"3,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""1.3"",""0"",""[[2 89.95810661169966] [0 103.16630246013125] [1 94.31774671705048] [3 97.05003345526276]]"",""[96.12304731103603 96.12304731103603 96.12304731103605 96.12304731103603]"",""[[2 116.94469042148843] [0 134.11564940181026] [1 122.61224112584163] [3 126.16625908067383]]"",""[124.95971000745354 124.95971000745354 124.95971000745354 124.95971000745354]"",""[[2 0] [0 0] [1 0] [3 0]]"",""[0 0 0 0]"",""[[2 0] [0 0] [1 0] [3 0]]"",""[0 0 0 0]"",""[[2 0] [0 0] [1 0] [3 0]]"",""[0 0 0 0]"""
"2,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""0"",""[[2 103.46041667851388] [3 104.76392156147541] [0 96.83901586970185] [1 106.66606319430042]]"",""[102.93235432599789 102.93235432599789 102.93235432599789 102.93235432599789]"",""[[2 82.76804828079948] [3 83.81071615931928] [0 77.46984523086874] [1 85.33227283320875]]"",""[82.34522062604907 82.34522062604907 82.34522062604906 82.34522062604907]"",""[[2 0] [3 0] [0 0] [1 0]]"",""[0 0 0 0]"",""[[2 0] [3 0] [0 0] [1 0]]"",""[0 0 0 0]"",""[[2 0] [3 0] [0 0] [1 0]]"",""[0 0 0 0]"""
"5,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""0"",""[[1 97.00035678789295] [0 101.68356643663462] [2 102.29244716638281] [3 102.0519289423738]]"",""[100.75707483332106 100.75707483332104 100.75707483332106 100.75707483332106]"",""[[1 77.60035075746187] [0 81.34784200802136] [2 81.83296358558269] [3 81.64295758951982]]"",""[80.60602848514644 80.60602848514644 80.60602848514642 80.60602848514644]"",""[[1 0] [0 0] [2 0] [3 0]]"",""[0 0 0 0]"",""[[1 0] [0 0] [2 0] [3 0]]"",""[0 0 0 0]"",""[[1 0] [0 0] [2 0] [3 0]]"",""[0 0 0 0]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""1"",""[[2 102.45172576228374] [1 99.03150565121499] [3 98.69963658845022] [0 99.13121719189151]]"",""[99.82852129846012 99.82852129846012 99.82852129846012 99.82852129846012]"",""[[2 81.96305143603063] [1 79.22618062300975] [3 78.95989858497978] [0 79.30502035358715]]"",""[79.86353774940183 79.86353774940183 79.86353774940183 79.86353774940183]"",""[[2 102.45172576228374] [1 99.03150565121499] [3 98.69963658845022] [0 99.13121719189151]]"",""[99.82852129846012 99.82852129846012 99.82852129846012 99.82852129846012]"",""[[2 0] [1 0] [3 0] [0 0]]"",""[0 0 0 0]"",""[[2 102.45172576228374] [1 99.03150565121499] [3 98.69963658845022] [0 99.13121719189151]]"",""[99.82852129846012 99.82852129846012 99.82852129846012 99.82852129846012]"""
"2,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""0.8"",""1"",""[[1 106.46023557297862] [2 103.24729110965652] [0 96.61617676634278] [3 104.54780202856706]]"",""[102.71787636938623 102.71787636938623 102.71787636938623 102.71787636938625]"",""[[1 85.16994093452945] [2 82.59855659326577] [0 77.29473738605589] [3 83.63681316849107]]"",""[82.17501202058554 82.17501202058554 82.17501202058554 82.17501202058554]"",""[[1 106.46023557297862] [2 103.24729110965652] [0 96.61617676634278] [3 104.54780202856706]]"",""[102.71787636938623 102.71787636938623 102.71787636938623 102.71787636938625]"",""[[1 0] [2 0] [0 0] [3 0]]"",""[0 0 0 0]"",""[[1 106.46023557297862] [2 103.24729110965652] [0 96.61617676634278] [3 104.54780202856706]]"",""[102.71787636938623 102.71787636938623 102.71787636938623 102.71787636938625]"""
"3,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""0.5"",""1.3"",""1"",""[[1 94.10673511816972] [0 102.95270659927526] [2 89.75393342950754] [3 96.83764589582735]]"",""[95.91275526069496 95.91275526069496 95.91275526069496 95.91275526069496]"",""[[1 122.34102724879044] [0 133.83759844178823] [2 116.6783668105975] [3 125.8880862698573]]"",""[124.68626969275836 124.68626969275837 124.68626969275837 124.68626969275837]"",""[[1 94.10673511816972] [0 102.95270659927526] [2 89.75393342950754] [3 96.83764589582735]]"",""[95.91275526069496 95.91275526069496 95.91275526069496 95.91275526069496]"",""[[1 0] [0 0] [2 0] [3 0]]"",""[0 0 0 0]"",""[[1 94.10673511816972] [0 102.95270659927526] [2 89.75393342950754] [3 96.83764589582735]]"",""[95.91275526069496 95.91275526069496 95.91275526069496 95.91275526069496]"""
"6,""54"",""224"",""0.05"",""0.1"",""0.8"",""0.001"",""0.05"",""0.6"",""1"",""-1.5"",""0.15"",""0.6"",""0.6"",""3"",""0.6"",""0"",""1"",""12000"",""0.05"",""0"",""0.05"",""100"",""3"",""3"",""0"",""0.001"",""4"",""1.5"",""0.8"",""2"",""[[0 97.92203997026905] [2 101.2490004195545] [3 97.48913007975216] [1 97.81963869207992]]"",""[98.6199522904139 98.61995229041392 98.6199522904139 98.6199522904139]"",""[[0 78.33899623781326] [2 80.99942215224337] [3 77.99072571174602] [1 78.25594900003136]]"",""[78.8962732754585 78.8962732754585 78.8962732754585 78.8962732754585]"",""[[0 97.92203997026905] [2 101.2490004195545] [3 97.48913007975216] [1 97.81963869207992]]"",""[98.6199522904139 98.61995229041392 98.6199522904139 98.6199522904139]"",""[[0 0.08150300765223933] [2 0.5044036159447931] [3 0.1458683006118954] [1 10.604271570855246]]"",""[2.8340116237660435 2.8340116237660435 2.8340116237660435 2.8340116237660435]"",""[[0 197.05325716216055] [2 203.70072618183826] [3 196.1887666682024] [1 196.8511443432949]]"",""[198.448473588874 198.44847358887404 198.44847358887404 198.44847358887404]"""
